S_i,S_t,S_max,S_i,S_t,S_min,period
637,1495664624.7341146469,96.145599,895,1495664625.3689498901,-104.095497,1.933812
1424,1495664626.6679270267,194.885300,1685,1495664627.3127770424,-86.105301,1.955641
2217,1495664628.6235675812,179.016098,2389,1495664629.0473780632,-124.618500,1.257314
2729,1495664629.8808815479,234.130905,2866,1495664630.2197141647,-118.743896,1.183727
3209,1495664631.0646080971,223.052994,3343,1495664631.3929774761,-163.040207,0.792848
3532,1495664631.8574564457,317.489594,3739,1495664632.3662829399,-170.074493,0.792848
