S_i,S_t,S_max,S_i,S_t,S_min,period
1714,1495049570.8132586479,308.502197,1740,1495049570.8748605251,-131.088303,0.727992
2016,1495049571.5412509441,37.277199,2410,1495049572.4940266609,-63.736000,1.502619
2637,1495049573.0438699722,313.125610,2671,1495049573.1264820099,-96.954300,2.101834
3506,1495049575.1457035542,272.735596,3554,1495049575.2622418404,-105.392502,2.431156
4510,1495049577.5768594742,276.382385,4541,1495049577.6510624886,-104.904198,2.399859
5502,1495049579.9767189026,271.957397,5663,1495049580.3669970036,-238.403305,2.408731
6497,1495049582.3854503632,246.368393,6545,1495049582.5021815300,-107.727097,2.188820
7398,1495049584.5742704868,312.759399,7432,1495049584.6570405960,-158.843994,2.188820
