S_i,S_t,S_max,S_i,S_t,S_min,period
578,1494009821.9213495255,112.670898,774,1494009822.3975834846,-166.442902,1.385877
1146,1494009823.3072261810,201.049805,1305,1494009823.6971526146,-146.072403,1.152234
1619,1494009824.4594604969,252.914398,1744,1494009824.7636444569,-200.271606,1.097687
2071,1494009825.5571470261,245.330795,2193,1494009825.8528656960,-178.955093,1.100948
2523,1494009826.6580948830,249.984695,2646,1494009826.9540054798,-183.502197,1.067248
2965,1494009827.7253429890,263.809204,3083,1494009828.0107240677,-202.728302,1.014486
3384,1494009828.7398290634,256.210297,3519,1494009829.0676803589,-184.219406,1.108675
3839,1494009829.8485040665,246.902496,3966,1494009830.1551718712,-224.105804,1.108675
