S_i,S_t,S_max,S_i,S_t,S_min,period
1127,1494875824.3004000187,101.547203,871,1494875823.6749475002,-94.497704,2.576615
2188,1494875826.8770146370,181.198105,1414,1494875824.9980449677,-111.511200,2.199414
3092,1494875829.0764288902,163.085907,2407,1494875827.4060554504,-100.250198,2.514781
4125,1494875831.5912103653,204.177902,3349,1494875829.7009749413,-103.027298,2.113897
4991,1494875833.7051069736,197.830200,4299,1494875832.0156714916,-123.535202,2.441404
5991,1494875836.1465110779,196.182297,5217,1494875834.2559080124,-97.549400,2.441404
