S_i,S_t,S_max,S_i,S_t,S_min,period
533,1495049640.6115131378,73.181198,616,1495049640.8126754761,-217.544601,0.804403
865,1495049641.4159164429,399.230988,943,1495049641.6061339378,-470.367401,0.739298
1170,1495049642.1552147865,436.553986,1243,1495049642.3359041214,-472.808807,1.046523
1600,1495049643.2017378807,1.510600,1635,1495049643.2868320942,-262.420685,1.066444
2038,1495049644.2681818008,475.250214,2121,1495049644.4697480202,-499.114990,1.099469
2487,1495049645.3676509857,-32.363899,2522,1495049645.4527344704,-256.210297,1.056264
2924,1495049646.4239153862,449.173004,3016,1495049646.6469769478,-490.600586,0.751349
3232,1495049647.1752643585,461.120605,3310,1495049647.3655915260,-479.461700,0.751349
