adfas,adf,sdf,awe,rtea,teaf,erte,ert
1496203941.2217280865,1496203941.2240140438, -1.0793, -0.0459, -0.3677, -8.9569, -2.4109, -8.8806
1496203941.2240860462,1496203941.2263751030, -1.0793, -0.0459, -0.3677, -8.9569, -2.4109, -8.8806
1496203941.2264459133,1496203941.2288858891, -1.0793, -0.0459, -0.3677, -8.9569, -2.4109, -8.8806
1496203941.2289609909,1496203941.2313790321, -1.0793, -0.0459, -0.3677,-10.0250, -2.6855, -9.2621
1496203941.2314529419,1496203941.2338631153, -1.0793, -0.0459, -0.3677,-10.0250, -2.6855, -9.2621
1496203941.2339360714,1496203941.2363440990, -1.0859, -0.0466, -0.3721,-10.0250, -2.6855, -9.2621
1496203941.2364180088,1496203941.2388401031, -1.0859, -0.0466, -0.3721,-10.0250, -2.6855, -9.2621
1496203941.2389140129,1496203941.2412030697, -1.0859, -0.0466, -0.3721,-10.1013, -2.8381, -9.8572
1496203941.2412769794,1496203941.2435600758, -1.0859, -0.0466, -0.3721,-10.1013, -2.8381, -9.8572
1496203941.2436339855,1496203941.2459189892, -1.0859, -0.0466, -0.3721,-10.1013, -2.8381, -9.8572
1496203941.2459919453,1496203941.2482800484, -1.0859, -0.0466, -0.3721,-10.1013, -2.8381, -9.8572
1496203941.2483520508,1496203941.2507939339, -1.0859, -0.0466, -0.3721,-10.1013, -3.3875,-10.0861
1496203941.2508699894,1496203941.2532858849, -1.0859, -0.0466, -0.3721,-10.2539, -3.3875,-10.0861
1496203941.2533628941,1496203941.2557721138, -1.0784, -0.0427, -0.3696,-10.2539, -3.3875,-10.0861
1496203941.2558479309,1496203941.2582559586, -1.0784, -0.0427, -0.3696,-10.2539, -3.3875,-10.0861
1496203941.2583320141,1496203941.2607889175, -1.0784, -0.0427, -0.3696,-10.2539, -3.3875, -9.9182
1496203941.2608621120,1496203941.2632749081, -1.0784, -0.0427, -0.3696,-11.0168, -2.9449, -9.9182
1496203941.2633490562,1496203941.2657639980, -1.0784, -0.0427, -0.3696,-11.0168, -2.9449, -9.9182
1496203941.2658369541,1496203941.2682490349, -1.0784, -0.0427, -0.3696,-11.0168, -2.9449, -9.9182
1496203941.2683219910,1496203941.2707800865, -1.0784, -0.0427, -0.3696,-11.0168, -2.9449, -9.9182
1496203941.2708520889,1496203941.2732660770, -1.0784, -0.0427, -0.3696,-11.9629, -2.2430, -9.6588
1496203941.2733390331,1496203941.2757489681, -1.0710, -0.0598, -0.3547,-11.9629, -2.2430, -9.6588
1496203941.2758219242,1496203941.2782280445, -1.0710, -0.0598, -0.3547,-11.9629, -2.2430, -9.6588
1496203941.2783019543,1496203941.2806310654, -1.0710, -0.0598, -0.3547,-11.9629, -2.2430, -9.6588
1496203941.2807049751,1496203941.2829930782, -1.0710, -0.0598, -0.3547,-12.6190, -2.7924,-10.6506
1496203941.2830679417,1496203941.2854828835, -1.0710, -0.0598, -0.3547,-12.6190, -2.7924,-10.6506
1496203941.2855589390,1496203941.2878470421, -1.0710, -0.0598, -0.3547,-12.6190, -2.7924,-10.6506
1496203941.2879240513,1496203941.2905941010, -1.0710, -0.0598, -0.3547,-12.6190, -2.7924,-10.6506
1496203941.2906720638,1496203941.2930479050, -1.0710, -0.0598, -0.3547,-12.6190, -3.9062,-11.2000
