1496595572.3994779587,1496595572.4118700027, -1.1289,  0.1624, -0.1833,  2.4872,  4.4861, -4.0894
1496595572.4120819569,1496595572.4151260853, -1.1289,  0.1624, -0.1833,  1.8158,  4.3945, -4.1199
1496595572.4152030945,1496595572.4176011086, -1.1289,  0.1624, -0.1833,  1.8158,  4.3945, -4.1199
1496595572.4176709652,1496595572.4201951027, -1.1306,  0.1580, -0.1848,  1.8158,  4.3945, -4.1199
1496595572.4202659130,1496595572.4227399826, -1.1306,  0.1580, -0.1848,  1.8158,  4.3945, -4.1199
1496595572.4228100777,1496595572.4252109528, -1.1306,  0.1580, -0.1848,  1.9531,  4.2419, -4.8676
1496595572.4252800941,1496595572.4276790619, -1.1306,  0.1580, -0.1848,  1.9531,  4.2419, -4.8676
1496595572.4277479649,1496595572.4301509857, -1.1306,  0.1580, -0.1848,  1.9531,  4.2419, -4.8676
1496595572.4302198887,1496595572.4325048923, -1.1306,  0.1580, -0.1848,  1.9531,  4.2419, -4.8676
1496595572.4325740337,1496595572.4348568916, -1.1306,  0.1580, -0.1848,  2.4567,  4.0588, -6.6833
1496595572.4349260330,1496595572.4372060299, -1.1306,  0.1580, -0.1848,  2.4567,  4.0588, -6.6833
1496595572.4372749329,1496595572.4396350384, -1.1260,  0.1790, -0.1843,  2.4567,  4.0588, -6.6833
1496595572.4397048950,1496595572.4419910908, -1.1260,  0.1790, -0.1843,  2.4567,  4.0588, -6.6833
1496595572.4420599937,1496595572.4443430901, -1.1260,  0.1790, -0.1843,  2.4567,  4.0588, -7.2784
1496595572.4444129467,1496595572.4466919899, -1.1260,  0.1790, -0.1843,  1.4191,  4.1046, -7.2784
1496595572.4467608929,1496595572.4491310120, -1.1260,  0.1790, -0.1843,  1.4191,  4.1046, -7.2784
1496595572.4492011070,1496595572.4514911175, -1.1260,  0.1790, -0.1843,  1.4191,  4.1046, -7.2784
1496595572.4515600204,1496595572.4538450241, -1.1260,  0.1790, -0.1843,  1.4191,  4.1046, -7.2784
1496595572.4539139271,1496595572.4561951160, -1.1260,  0.1790, -0.1843, -0.8850,  4.0588, -8.0566
1496595572.4562649727,1496595572.4587459564, -1.0635,  0.1609, -0.2048, -0.8850,  4.0588, -8.0566
1496595572.4588189125,1496595572.4612240791, -1.1228,  0.1609, -0.2048, -0.8850,  4.0588, -8.0566
1496595572.4612948895,1496595572.4637010098, -1.1228,  0.1609, -0.2048, -0.8850,  4.0588, -8.0566
1496595572.4637720585,1496595572.4661779404, -1.1228,  0.1609, -0.2048, -0.8850,  4.0436, -8.6823
1496595572.4662499428,1496595572.4686698914, -1.1228,  0.1609, -0.2048, -2.9907,  4.0436, -8.6823
1496595572.4687409401,1496595572.4711539745, -1.1228,  0.1609, -0.2048, -2.9907,  4.0436, -8.6823
1496595572.4712240696,1496595572.4736289978, -1.1228,  0.1609, -0.2048, -2.9907,  4.0436, -8.6823
1496595572.4736990929,1496595572.4761090279, -1.1228,  0.1609, -0.2048, -2.9907,  4.0436, -9.0027
1496595572.4761800766,1496595572.4786639214, -1.1853,  0.1467, -0.1897, -3.8910,  3.6774, -9.0027
1496595572.4787349701,1496595572.4811439514, -1.1335,  0.1467, -0.1897, -3.8910,  3.6774, -9.0027
1496595572.4812140465,1496595572.4836239815, -1.1335,  0.1467, -0.1897, -3.8910,  3.6774, -9.0027
1496595572.4836940765,1496595572.4861040115, -1.1335,  0.1467, -0.1897, -3.8910,  3.6774, -9.0027
1496595572.4861741066,1496595572.4886200428, -1.1335,  0.1467, -0.1897, -4.4403,  3.9215, -9.3842
1496595572.4886910915,1496595572.4909760952, -1.1335,  0.1467, -0.1897, -4.4403,  3.9215, -9.3842
1496595572.4910459518,1496595572.4933290482, -1.1335,  0.1467, -0.1897, -4.4403,  3.9215, -9.3842
1496595572.4933989048,1496595572.4956860542, -1.1335,  0.1467, -0.1897, -4.4403,  3.9215, -9.3842
1496595572.4957549572,1496595572.4980709553, -1.1335,  0.0217, -0.1926, -5.0507,  3.7537, -9.0179
1496595572.4981420040,1496595572.5004251003, -1.1658,  0.0381, -0.1926, -5.0507,  3.7537, -9.0179
1496595572.5004971027,1496595572.5029621124, -1.1658,  0.0381, -0.1926, -5.0507,  3.7537, -9.0179
1496595572.5030329227,1496595572.5053150654, -1.1658,  0.0381, -0.1926, -5.0507,  3.7537, -9.0179
1496595572.5053849220,1496595572.5076649189, -1.1658,  0.0381, -0.1926, -5.0507,  3.7537, -9.0179
1496595572.5077350140,1496595572.5100219250, -1.1658,  0.0381, -0.1926, -5.2948,  3.8300, -8.1482
1496595572.5100929737,1496595572.5123779774, -1.1658,  0.0381, -0.1926, -5.2948,  3.8300, -8.1482
1496595572.5125939846,1496595572.5148830414, -1.1658,  0.0381, -0.1926, -5.2948,  3.8300, -8.1482
1496595572.5149550438,1496595572.5172390938, -1.1658,  0.0381, -0.1926, -5.2948,  3.8300, -8.1482
1496595572.5173079967,1496595572.5197501183, -1.1279,  0.1086, -0.2131, -4.4250,  3.3417, -8.0719
1496595572.5198209286,1496595572.5222299099, -1.1279,  0.1086, -0.2131, -4.4250,  3.3417, -8.0719
1496595572.5223009586,1496595572.5252718925, -1.1279,  0.1086, -0.2131, -4.4250,  3.3417, -8.0719
1496595572.5253438950,1496595572.5277519226, -1.1279,  0.1086, -0.2131, -4.4250,  3.3417, -8.0719
1496595572.5278229713,1496595572.5302450657, -1.1279,  0.1086, -0.2131, -4.1962,  2.9449, -9.3994
1496595572.5303139687,1496595572.5327219963, -1.1279,  0.1086, -0.2131, -4.1962,  2.9449, -9.3994
