1496258345.7180259228,1496258345.7263538837, -1.2532,  0.0898,  0.0588,-31.5247, 34.1034,  6.5765
1496258345.7265160084,1496258345.7287950516, -1.2532,  0.0898,  0.0588,-31.5247, 34.1034,  6.5765
1496258345.7288720608,1496258345.7311499119, -1.2532,  0.0898,  0.0588,-31.5247, 34.1034,  6.5765
1496258345.7312259674,1496258345.7335219383, -1.2532,  0.0898,  0.0588,-31.5247, 34.1034,  6.5765
1496258345.7335970402,1496258345.7358798981, -1.2532,  0.0898,  0.0588,-32.1198, 33.7067,  8.6975
1496258345.7359569073,1496258345.7382369041, -1.2532,  0.0898,  0.0461,-32.1198, 33.7067,  8.6975
1496258345.7383139133,1496258345.7405920029, -1.2527,  0.1196,  0.0461,-32.1198, 33.7067,  8.6975
1496258345.7406699657,1496258345.7431221008, -1.2527,  0.1196,  0.0461,-32.1198, 33.7067,  8.6975
1496258345.7432100773,1496258345.7455010414, -1.2527,  0.1196,  0.0461,-32.1198, 33.7067,  4.7913
1496258345.7455790043,1496258345.7478621006, -1.2527,  0.1196,  0.0461,-34.1187, 34.5917,  5.0659
1496258345.7479379177,1496258345.7502210140, -1.2527,  0.1196,  0.0461,-34.1187, 34.5917,  5.0659
1496258345.7502980232,1496258345.7525749207, -1.2527,  0.1196,  0.0461,-34.1187, 34.5917,  5.0659
1496258345.7526500225,1496258345.7551119328, -1.2527,  0.1196,  0.0461,-34.1187, 34.5917,  5.0659
1496258345.7551889420,1496258345.7574648857, -1.2527,  0.1196,  0.0461,-37.8876, 37.1704, -0.1373
1496258345.7575430870,1496258345.7598230839, -1.2590,  0.1465,  0.0640,-37.8876, 37.1704, -0.1373
1496258345.7599010468,1496258345.7623500824, -1.2590,  0.1465,  0.0640,-37.8876, 37.1704, -0.1373
1496258345.7624280453,1496258345.7647950649, -1.2590,  0.1465,  0.0640,-37.8876, 37.1704, -0.1373
1496258345.7648730278,1496258345.7671520710, -1.2590,  0.1465,  0.0640,-37.8876, 41.0767, -6.5002
1496258345.7672300339,1496258345.7715899944, -1.2590,  0.1465,  0.0640,-41.5802, 42.0685, -6.5002
1496258345.7716689110,1496258345.7739560604, -1.2590,  0.1465,  0.0640,-41.5802, 42.0685, -6.5002
1496258345.7740330696,1496258345.7763090134, -1.2590,  0.1465,  0.0640,-41.5802, 42.0685, -6.5002
1496258345.7763850689,1496258345.7786679268, -1.2590,  0.1719,  0.0879,-46.1273, 48.2941,-13.8702
1496258345.7787470818,1496258345.7810249329, -1.2881,  0.1719,  0.0879,-46.1273, 48.2941,-13.8702
1496258345.7811028957,1496258345.7833890915, -1.2881,  0.1719,  0.0879,-46.1273, 48.2941,-13.8702
1496258345.7834670544,1496258345.7857470512, -1.2881,  0.1719,  0.0879,-46.1273, 48.2941,-13.8702
1496258345.7858240604,1496258345.7881360054, -1.2881,  0.1719,  0.0879,-46.1273, 48.2941,-21.7133
1496258345.7882139683,1496258345.7904961109, -1.2881,  0.1719,  0.0879,-51.8036, 56.4423,-21.7133
1496258345.7905728817,1496258345.7929649353, -1.2881,  0.1719,  0.0879,-51.8036, 56.4423,-21.7133
1496258345.7930440903,1496258345.7953228951, -1.2881,  0.1719,  0.0879,-51.8036, 56.4423,-21.7133
1496258345.7954010963,1496258345.7976830006, -1.2881,  0.1719,  0.0879,-51.8036, 56.4423,-21.7133
1496258345.7977609634,1496258345.8000431061, -1.2822,  0.1672,  0.0955,-57.2815, 65.2924,-28.8849
1496258345.8001210690,1496258345.8023989201, -1.2822,  0.1672,  0.0955,-57.2815, 65.2924,-28.8849
1496258345.8024780750,1496258345.8048100471, -1.2822,  0.1672,  0.0955,-57.2815, 65.2924,-28.8849
1496258345.8048880100,1496258345.8071699142, -1.2822,  0.1672,  0.0955,-57.2815, 65.2924,-28.8849
1496258345.8072481155,1496258345.8095290661, -1.2822,  0.1672,  0.0955,-57.2815, 73.0743,-36.5906
1496258345.8096070290,1496258345.8118889332, -1.2822,  0.1672,  0.0955,-61.7828, 73.0743,-36.5906
1496258345.8119668961,1496258345.8143820763, -1.2822,  0.1672,  0.0955,-61.7828, 73.0743,-36.5906
1496258345.8144609928,1496258345.8167390823, -1.2822,  0.1672,  0.0955,-61.7828, 73.0743,-36.5906
1496258345.8168160915,1496258345.8190920353, -1.2822,  0.1406,  0.1003,-61.7828, 73.0743,-36.5906
1496258345.8191699982,1496258345.8214509487, -1.2896,  0.1406,  0.1003,-64.6057, 78.4912,-42.1600
1496258345.8215310574,1496258345.8239800930, -1.2896,  0.1406,  0.1003,-64.6057, 78.4912,-42.1600
1496258345.8240599632,1496258345.8263409138, -1.2896,  0.1406,  0.1003,-64.6057, 78.4912,-42.1600
1496258345.8265810013,1496258345.8288609982, -1.2896,  0.1406,  0.1003,-64.6057, 78.4912,-42.1600
1496258345.8289411068,1496258345.8312249184, -1.2896,  0.1406,  0.1003,-66.2842, 82.5043,-46.0663
1496258345.8313050270,1496258345.8339018822, -1.2896,  0.1406,  0.1003,-66.2842, 82.5043,-46.0663
1496258345.8339910507,1496258345.8367350101, -1.2896,  0.1406,  0.1003,-66.2842, 82.5043,-46.0663
1496258345.8368248940,1496258345.8392291069, -1.2896,  0.1072,  0.0645,-66.2842, 82.5043,-46.0663
1496258345.8393120766,1496258345.8417210579, -1.2778,  0.1072,  0.0645,-66.6656, 84.6710,-47.0734
1496258345.8418009281,1496258345.8442099094, -1.2778,  0.1072,  0.0645,-66.6656, 84.6710,-47.0734
1496258345.8442890644,1496258345.8466908932, -1.2778,  0.1072,  0.0645,-66.6656, 84.6710,-47.0734
