P_i,P_t,P_v,T_i,T_t,T_v
273,1496258245.9346125126,104.080200,600,1496258246.7263698578,-54.367100
761,1496258247.1161115170,96.786499,1066,1496258247.8570494652,-63.827499
1209,1496258248.2069315910,77.712997,1544,1496258249.0203900337,-48.645000
1631,1496258249.2322883606,89.675903,2022,1496258250.1818330288,-58.242802
2134,1496258250.4570956230,82.748398,2453,1496258251.2283174992,-63.568100
2597,1496258251.5776920319,64.666702,2979,1496258252.5077376366,-64.285301
3101,1496258252.8047161102,133.132904,3359,1496258253.4378964901,-48.660301
3541,1496258253.8821020126,116.348297,3831,1496258254.5898735523,-40.344200
